epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.45557,1.01968,0.86047,0.9907,0.45668,0.07624,0.00024,0.00024
2,14.395,0.32899,0.86977,1,0.41416,0.0514803,0.000480298,0.000480298
3,20.8284,0.14829,0.88372,1,0.36085,0.0267107,0.000710696,0.000710696
4,27.5401,0.14524,0.88372,0.99535,0.38103,0.00193119,0.000931194,0.000931194
5,34.2057,0.16515,0.88372,1,0.35903,0.0009208,0.0009208,0.0009208
6,40.778,0.151,0.88837,1,0.50669,0.000901,0.000901,0.000901
7,47.1954,0.12655,0.85116,0.9814,0.67937,0.0008812,0.0008812,0.0008812
8,53.6544,0.12696,0.87442,0.99535,0.54426,0.0008614,0.0008614,0.0008614
9,60.0386,0.09343,0.89767,0.99535,0.41994,0.0008416,0.0008416,0.0008416
10,66.4702,0.12251,0.92093,1,0.32275,0.0008218,0.0008218,0.0008218
11,72.7765,0.08548,0.92093,1,0.37018,0.000802,0.000802,0.000802
12,79.2571,0.07613,0.87907,1,0.5767,0.0007822,0.0007822,0.0007822
13,85.6836,0.06396,0.87442,1,0.63662,0.0007624,0.0007624,0.0007624
14,92.1183,0.07619,0.92093,1,0.29343,0.0007426,0.0007426,0.0007426
15,98.6104,0.0544,0.88837,1,0.44011,0.0007228,0.0007228,0.0007228
16,104.984,0.07546,0.89767,1,0.44258,0.000703,0.000703,0.000703
17,111.406,0.05448,0.91628,1,0.31374,0.0006832,0.0006832,0.0006832
18,117.789,0.05519,0.90233,1,0.48849,0.0006634,0.0006634,0.0006634
19,124.198,0.0406,0.90233,1,0.40691,0.0006436,0.0006436,0.0006436
20,130.596,0.03795,0.92558,1,0.33597,0.0006238,0.0006238,0.0006238
21,136.95,0.04684,0.93023,1,0.29766,0.000604,0.000604,0.000604
22,143.299,0.04346,0.91163,1,0.45627,0.0005842,0.0005842,0.0005842
23,149.67,0.03496,0.91163,1,0.32731,0.0005644,0.0005644,0.0005644
24,156.038,0.02981,0.93023,1,0.26494,0.0005446,0.0005446,0.0005446
25,162.528,0.02693,0.93488,1,0.29633,0.0005248,0.0005248,0.0005248
26,168.996,0.02961,0.92093,1,0.30153,0.000505,0.000505,0.000505
27,175.488,0.03122,0.91163,1,0.52059,0.0004852,0.0004852,0.0004852
28,181.915,0.03473,0.92558,1,0.49491,0.0004654,0.0004654,0.0004654
29,188.301,0.03157,0.92558,1,0.32151,0.0004456,0.0004456,0.0004456
30,194.675,0.01872,0.93023,1,0.37569,0.0004258,0.0004258,0.0004258
31,201.072,0.03083,0.93488,1,0.32461,0.000406,0.000406,0.000406
32,207.466,0.01916,0.93023,1,0.45815,0.0003862,0.0003862,0.0003862
33,213.845,0.03273,0.93023,1,0.52321,0.0003664,0.0003664,0.0003664
34,220.252,0.02568,0.92558,1,0.36655,0.0003466,0.0003466,0.0003466
35,226.703,0.01483,0.93953,1,0.48265,0.0003268,0.0003268,0.0003268
36,233.139,0.01633,0.93953,1,0.34223,0.000307,0.000307,0.000307
37,239.474,0.01634,0.92558,1,0.37548,0.0002872,0.0002872,0.0002872
38,245.847,0.02902,0.92558,1,0.39596,0.0002674,0.0002674,0.0002674
39,252.228,0.0273,0.93488,1,0.32522,0.0002476,0.0002476,0.0002476
40,258.599,0.00825,0.93488,1,0.34452,0.0002278,0.0002278,0.0002278
41,264.936,0.02452,0.93488,1,0.33645,0.000208,0.000208,0.000208
42,271.346,0.00992,0.93488,1,0.29077,0.0001882,0.0001882,0.0001882
43,277.7,0.02201,0.92093,1,0.44025,0.0001684,0.0001684,0.0001684
44,284.063,0.029,0.91628,1,0.53571,0.0001486,0.0001486,0.0001486
45,290.455,0.01039,0.92558,1,0.37896,0.0001288,0.0001288,0.0001288
46,296.881,0.00926,0.93023,1,0.47122,0.000109,0.000109,0.000109
47,303.247,0.00938,0.93488,1,0.41212,8.92e-05,8.92e-05,8.92e-05
48,309.631,0.02885,0.94419,1,0.30191,6.94e-05,6.94e-05,6.94e-05
49,316.013,0.0071,0.93953,1,0.42991,4.96e-05,4.96e-05,4.96e-05
50,322.434,0.01805,0.94419,1,0.29375,2.98e-05,2.98e-05,2.98e-05
